,edad,genero,salario,paises,titulo_academico,puesto_trabajo,años_experiencia,sector_laboral,tamaño_empresa,lenguaje_programacion
5922,45-59,Hombre,+40K,España,Doctorado,Business Analyst,20+ years,Energía/Minería,Pequeña,"Python, SQL, Java, Javascript"
5926,18-29,Hombre,0-14K,India,Master,Data Analyst,I have never written code,Negocios en línea/ventas basadas en Internet,Startup,No sabe/No contesta
5950,30-44,Hombre,No sabe/No contesta,India,Grado,Business Analyst,I have never written code,Seguro/Evaluación de Riesgos,Multinacional,No sabe/No contesta
5954,18-29,Hombre,+40K,Estados Unidos,Grado,Data Analyst,< 1 years,Marketing/CRM,Mediana,"Python, SQL"
5964,30-44,Hombre,0-14K,Egipto,Grado,Data Analyst,I have never written code,Médico/farmacéutico,Grande,No sabe/No contesta
5975,18-29,Mujer,No sabe/No contesta,Otros,Grado,Data Analyst,3-5 years,Académico/Educación,Startup,"Python, R, SQL, C++, Javascript, MATLAB"
5981,18-29,Hombre,No sabe/No contesta,India,Grado,Data Analyst,3-5 years,,No sabe/No contesta,"Python, R, SQL, C, MATLAB"
5996,45-59,Hombre,15K-39K,Nigeria,Grado,Data Analyst,10-20 years,Contabilidad/Finanzas,Multinacional," SQL, Other"
5997,18-29,Hombre,No sabe/No contesta,China,Estudios Universitarios,Data Analyst,1-3 years,Académico/Educación,Startup,"Python, MATLAB"
6005,18-29,Hombre,0-14K,Japon,Grado,Data Analyst,< 1 years,Fabricación,Grande,Python
6010,30-44,Hombre,15K-39K,Peru,Grado,Data Analyst,10-20 years,Académico/Educación,Startup,"Python, SQL, Other"
6023,18-29,Hombre,0-14K,India,Grado,Data Analyst,1-3 years,Tecnológico,Multinacional,"Python, R, SQL, Javascript"
6034,18-29,Hombre,0-14K,India,Master,Data Analyst,1-3 years,Ventas al por menor,Pequeña,"Python, SQL, C"
6044,30-44,Hombre,0-14K,Filipinas,Grado,Business Analyst,I have never written code,ONG/Servicio,Startup,No sabe/No contesta
6057,30-44,Hombre,No sabe/No contesta,Turquia,Doctorado,Data Analyst,5-10 years,Militar/Seguridad/Defensa,Multinacional,"Python, SQL, MATLAB"
6064,45-59,Hombre,+40K,Singapur,Master,Data Analyst,3-5 years,Gobierno/servicio público,Grande,"Python, R"
6078,18-29,Hombre,0-14K,Egipto,Grado,Data Analyst,< 1 years,Médico/farmacéutico,Grande,"Python, R, SQL, Java, Javascript, Swift, Bash"
6079,18-29,Hombre,0-14K,China,Doctorado Profesional,Business Analyst,3-5 years,Radio/Comunicaciones,Grande,"Python, SQL"
6092,45-59,Hombre,+40K,España,Doctorado,Data Analyst,20+ years,Académico/Educación,Mediana,"Python, R, C++, MATLAB, Other"
6095,30-44,Mujer,No sabe/No contesta,Suecia,Bachillerato,Data Analyst,< 1 years,Contabilidad/Finanzas,Pequeña,"Python, SQL"
6098,45-59,Hombre,0-14K,India,Master,Business Analyst,< 1 years,Marketing/CRM,Startup,"Python, R"
6103,18-29,Hombre,No sabe/No contesta,India,Estudios Universitarios,Data Analyst,1-3 years,Académico/Educación,Startup,"Python, Java"
6109,30-44,Hombre,+40K,Estados Unidos,Master,Data Analyst,3-5 years,Energía/Minería,Pequeña,"Python, R, SQL"
6118,30-44,Hombre,+40K,Tailandia,Master,Business Analyst,10-20 years,Tecnológico,Multinacional,"Python, SQL, Java"
6132,30-44,Hombre,No sabe/No contesta,España,Master,Data Analyst,10-20 years,Tecnológico,Pequeña,"Python, R, SQL, C++, Java, Bash"
6136,30-44,Hombre,+40K,Kazakhstan,Grado,Business Analyst,< 1 years,Fabricación,Grande,Python
6146,18-29,Mujer,0-14K,China,Master,Data Analyst,< 1 years,Académico/Educación,Startup,"Python, R, SQL"
6151,30-44,Hombre,0-14K,Ucrania,Bachillerato,Data Analyst,< 1 years,Ventas al por menor,Mediana,"Python, SQL"
6153,45-59,Hombre,+40K,Estados Unidos,Master,Business Analyst,1-3 years,Energía/Minería,Multinacional,"Python, SQL"
6157,30-44,Hombre,0-14K,Otros,Grado,Data Analyst,1-3 years,Contabilidad/Finanzas,Startup,"Python, R, SQL"
6163,30-44,Hombre,0-14K,India,Master,Business Analyst,< 1 years,Médico/farmacéutico,Multinacional,Python
6167,30-44,Mujer,0-14K,Francia,Master,Data Analyst,1-3 years,Marketing/CRM,Mediana,"Python, R, SQL"
6169,30-44,Hombre,15K-39K,India,Master,Business Analyst,< 1 years,Tecnológico,Multinacional,"Python, Java"
6177,18-29,Hombre,+40K,Polonia,Master,Data Analyst,3-5 years,Envío/Transporte,Startup," R, SQL"
6183,45-59,Hombre,15K-39K,Sudafrica,Grado,Business Analyst,3-5 years,Gobierno/servicio público,Grande, SQL
6193,18-29,Hombre,0-14K,India,Master,Business Analyst,< 1 years,Energía/Minería,Mediana,"Python, SQL"
6196,30-44,Mujer,+40K,Estados Unidos,Master,Data Analyst,1-3 years,Servicio en línea/Servicios basados ​​en Internet,Mediana,"Python, SQL"
6200,18-29,Hombre,0-14K,Estados Unidos,Estudios Universitarios,Data Analyst,< 1 years,Tecnológico,Mediana," R, SQL"
6204,45-59,Hombre,+40K,Estados Unidos,Master,Business Analyst,20+ years,Contabilidad/Finanzas,Startup,"Python, SQL, Javascript"
6206,18-29,Hombre,0-14K,India,Master,Business Analyst,1-3 years,Tecnológico,Mediana, None
6226,30-44,Hombre,+40K,Canada,Master,Business Analyst,< 1 years,Seguro/Evaluación de Riesgos,Multinacional,"Python, R, SQL"
6233,18-29,Hombre,No sabe/No contesta,Otros,Master,Data Analyst,1-3 years,,No sabe/No contesta,Python
6238,18-29,Hombre,0-14K,India,Bachillerato,Data Analyst,3-5 years,Energía/Minería,Pequeña,"Python, R, C, C++, Javascript"
6246,30-44,Hombre,+40K,Japon,Grado,Data Analyst,1-3 years,Tecnológico,Multinacional,Python
6248,18-29,Hombre,No sabe/No contesta,Australia,Master,Data Analyst,1-3 years,,No sabe/No contesta,"Python, SQL, C++, Java"
6264,30-44,Hombre,No sabe/No contesta,Nigeria,Grado,Data Analyst,< 1 years,Energía/Minería,Startup,"Python, SQL"
6275,30-44,Hombre,+40K,India,Master,Data Analyst,3-5 years,Servicio en línea/Servicios basados ​​en Internet,Mediana,"Python, R, SQL, Other"
6285,18-29,Hombre,0-14K,India,Master,Business Analyst,5-10 years,Servicio en línea/Servicios basados ​​en Internet,Mediana,Python
6286,18-29,Mujer,No sabe/No contesta,Vietnam,Grado,Data Analyst,< 1 years,Otros,Startup,"Python, SQL"
6287,30-44,Hombre,No sabe/No contesta,Otros,Grado,Data Analyst,1-3 years,Médico/farmacéutico,Pequeña, Other
6308,18-29,Hombre,0-14K,India,Master,Data Analyst,1-3 years,Seguro/Evaluación de Riesgos,Multinacional,"Python, R, SQL"
6314,30-44,Hombre,No sabe/No contesta,Nigeria,Master,Data Analyst,1-3 years,Radio/Comunicaciones,Grande,"Python, R, SQL"
6316,30-44,Hombre,0-14K,Otros,Master,Business Analyst,3-5 years,Tecnológico,Mediana,Python
6317,30-44,Hombre,+40K,Alemania,Master,Data Analyst,5-10 years,Ventas al por menor,Grande," R, SQL"
6320,45-59,Hombre,+40K,Belgica,Grado,Data Analyst,10-20 years,Contabilidad/Finanzas,Grande,"Python, R, SQL"
6323,30-44,Hombre,0-14K,Corea del Sur,Grado,Business Analyst,< 1 years,Contabilidad/Finanzas,Startup,Python
6329,18-29,Hombre,No sabe/No contesta,India,Grado,Data Analyst,< 1 years,Servicio en línea/Servicios basados ​​en Internet,Startup,Python
6330,18-29,Hombre,0-14K,Filipinas,Bachillerato,Data Analyst,< 1 years,Servicio en línea/Servicios basados ​​en Internet,Mediana,"Python, Javascript"
6331,18-29,Hombre,No sabe/No contesta,Vietnam,Estudios Universitarios,Data Analyst,< 1 years,Seguro/Evaluación de Riesgos,Grande,"Python, SQL"
6355,60-70+,Hombre,No sabe/No contesta,Otros,Master,Business Analyst,< 1 years,Gobierno/servicio público,Pequeña,Python
6361,18-29,Mujer,No sabe/No contesta,Iraq,Grado,Data Analyst,1-3 years,,No sabe/No contesta,"Python, SQL, Java, Other"
6375,18-29,Hombre,No sabe/No contesta,Nigeria,Grado,Data Analyst,1-3 years,Académico/Educación,Mediana,"Python, Javascript"
6395,18-29,Hombre,0-14K,India,Master,Data Analyst,I have never written code,Contabilidad/Finanzas,Pequeña,No sabe/No contesta
6396,45-59,Hombre,+40K,Rusia,Doctorado,Business Analyst,< 1 years,Contabilidad/Finanzas,Multinacional, None
6414,30-44,Mujer,No sabe/No contesta,Estados Unidos,Master,Business Analyst,< 1 years,Envío/Transporte,Startup,"Python, R, SQL"
6434,18-29,Hombre,No sabe/No contesta,China,Estudios Universitarios,Data Analyst,< 1 years,Académico/Educación,Startup,"Python, C, C++, Java"
6435,18-29,Hombre,0-14K,Marruecos,Master,Data Analyst,5-10 years,Energía/Minería,Startup,Python
6440,18-29,Mujer,0-14K,Otros,Doctorado,Business Analyst,I have never written code,Contabilidad/Finanzas,Mediana,No sabe/No contesta
6445,18-29,Mujer,0-14K,India,Grado,Business Analyst,1-3 years,Tecnológico,Mediana,Python
6446,18-29,Mujer,No sabe/No contesta,Corea del Sur,Grado,Data Analyst,1-3 years,Gobierno/servicio público,Startup, R
6449,45-59,Hombre,+40K,Reino Unido,Grado,Data Analyst,1-3 years,Gobierno/servicio público,Mediana,"Python, R, SQL"
6451,45-59,Hombre,+40K,España,Doctorado,Data Analyst,5-10 years,Académico/Educación,Grande,"Python, R, SQL, Java"
6453,30-44,Mujer,+40K,Reino Unido,Master,Data Analyst,1-3 years,Marketing/CRM,Multinacional,"Python, R, SQL, Other"
6455,18-29,Hombre,15K-39K,Italia,Master,Data Analyst,3-5 years,Seguro/Evaluación de Riesgos,Grande,"Python, SQL"
6467,30-44,Hombre,+40K,Francia,Master,Business Analyst,3-5 years,Ventas al por menor,Multinacional,"Python, SQL"
6473,30-44,Hombre,15K-39K,Grecia,Master,Business Analyst,< 1 years,Radio/Comunicaciones,Multinacional,Python
6480,30-44,Hombre,+40K,Estados Unidos,Grado,Data Analyst,1-3 years,Tecnológico,Multinacional,Python
6484,18-29,Mujer,0-14K,India,Master,Data Analyst,1-3 years,Otros,Startup,"Python, SQL"
6492,30-44,Hombre,0-14K,India,Master,Data Analyst,1-3 years,Tecnológico,Startup,"Python, SQL"
6493,18-29,Hombre,0-14K,India,Grado,Data Analyst,3-5 years,Tecnológico,Multinacional,"Python, SQL, Java"
6497,30-44,Hombre,+40K,Otros,Bachillerato,Business Analyst,10-20 years,Envío/Transporte,Multinacional," R, SQL"
6501,18-29,Hombre,No sabe/No contesta,India,Grado,Data Analyst,I have never written code,Servicio en línea/Servicios basados ​​en Internet,Multinacional,No sabe/No contesta
6502,45-59,Hombre,+40K,Australia,Master,Data Analyst,20+ years,Gobierno/servicio público,Multinacional,"Python, SQL"
6507,18-29,Hombre,0-14K,Peru,Grado,Business Analyst,1-3 years,Marketing/CRM,Startup,"Python, SQL"
6511,30-44,Mujer,No sabe/No contesta,India,Master,Data Analyst,5-10 years,Hostelería/Entretenimiento/Deportes,Pequeña,"Python, SQL, Bash"
6537,30-44,Hombre,0-14K,Tailandia,Grado,Data Analyst,1-3 years,Académico/Educación,Mediana,"Python, SQL"
6540,30-44,Hombre,No sabe/No contesta,Emiratos Arabes,Master,Data Analyst,10-20 years,Médico/farmacéutico,Pequeña,"Python, SQL, Java"
6545,30-44,Hombre,0-14K,India,Master,Business Analyst,1-3 years,Fabricación,Grande, SQL
6547,30-44,Mujer,0-14K,India,Master,Business Analyst,< 1 years,Tecnológico,Multinacional," SQL, C"
6560,18-29,Hombre,No sabe/No contesta,Indonesia,Grado,Data Analyst,1-3 years,Académico/Educación,Startup,"Python, C, C++, MATLAB"
6581,45-59,Hombre,0-14K,Kenia,Grado,Data Analyst,20+ years,Gobierno/servicio público,Grande,"Python, R, SQL, Javascript"
6582,18-29,Hombre,No sabe/No contesta,India,Master,Business Analyst,I have never written code,Gobierno/servicio público,Grande,No sabe/No contesta
6583,30-44,Hombre,0-14K,Brasil,Grado,Data Analyst,< 1 years,Fabricación,Mediana," R, SQL, Javascript"
6585,18-29,Hombre,0-14K,Nigeria,Grado,Data Analyst,I have never written code,Marketing/CRM,Pequeña,No sabe/No contesta
6596,45-59,Hombre,0-14K,Japon,Master,Business Analyst,10-20 years,Seguro/Evaluación de Riesgos,Multinacional, Other
6605,18-29,Hombre,0-14K,Brasil,Grado,Business Analyst,1-3 years,Ventas al por menor,Multinacional,"Python, SQL"
6614,18-29,Mujer,No sabe/No contesta,India,Grado,Data Analyst,< 1 years,Académico/Educación,Grande,"Python, SQL, C, C++, Java"
6617,60-70+,Hombre,+40K,Canada,Master,Business Analyst,20+ years,Seguro/Evaluación de Riesgos,Multinacional,"Python, R, SQL, C, Java, Javascript"
6637,30-44,Hombre,+40K,Irlanda,Doctorado,Data Analyst,1-3 years,Académico/Educación,Mediana,Python
6643,18-29,Hombre,No sabe/No contesta,Pakistan,Master,Data Analyst,3-5 years,Gobierno/servicio público,Mediana,"Python, SQL, Other"
6646,60-70+,Hombre,+40K,Otros,Master,Business Analyst,< 1 years,Servicio en línea/Servicios basados ​​en Internet,Startup,Python
6664,30-44,Hombre,No sabe/No contesta,Nigeria,Grado,Business Analyst,3-5 years,Otros,Startup,"Python, Other"
6665,30-44,Hombre,15K-39K,India,Grado,Data Analyst,10-20 years,Tecnológico,Multinacional,"Python, SQL"
6669,30-44,Hombre,+40K,Irlanda,Master,Business Analyst,< 1 years,Ventas al por menor,Grande,Python
6670,45-59,Hombre,No sabe/No contesta,Polonia,Grado,Business Analyst,< 1 years,,No sabe/No contesta,"Python, SQL, Other"
6674,30-44,Hombre,0-14K,China,Estudios Universitarios,Data Analyst,3-5 years,Tecnológico,Startup, C
6700,18-29,Hombre,0-14K,India,Grado,Data Analyst,1-3 years,Energía/Minería,Startup,Python
6703,18-29,Hombre,No sabe/No contesta,China,Grado,Business Analyst,I have never written code,Académico/Educación,Startup,No sabe/No contesta
6709,45-59,Hombre,+40K,Australia,Master,Data Analyst,20+ years,Contabilidad/Finanzas,Multinacional, None
6710,18-29,Hombre,No sabe/No contesta,Nigeria,Grado,Data Analyst,1-3 years,ONG/Servicio,Startup,"Python, R"
6720,45-59,Hombre,+40K,Brasil,Master,Data Analyst,5-10 years,Otros,Mediana,"Python, R, SQL, Java, Javascript"
6721,45-59,Hombre,+40K,Estados Unidos,Master,Data Analyst,5-10 years,Tecnológico,Startup,"Python, R, SQL, MATLAB"
6736,18-29,Hombre,No sabe/No contesta,India,Master,Data Analyst,< 1 years,Académico/Educación,Mediana,Python
6749,18-29,Hombre,0-14K,China,Master,Data Analyst,3-5 years,Ventas al por menor,Startup,Python
6754,18-29,Hombre,No sabe/No contesta,India,Master,Business Analyst,I have never written code,Ventas al por menor,Startup,No sabe/No contesta
6767,45-59,Mujer,15K-39K,Estados Unidos,Estudios Universitarios,Data Analyst,1-3 years,Ventas al por menor,Multinacional,"Python, SQL"
6792,18-29,Mujer,0-14K,Israel,Prefiero no responder,Data Analyst,< 1 years,Gobierno/servicio público,Startup,Python
6799,30-44,Mujer,No sabe/No contesta,Argentina,Grado,Data Analyst,< 1 years,Contabilidad/Finanzas,Pequeña,"Python, SQL"
6801,18-29,Hombre,15K-39K,Taiwan,Master,Data Analyst,1-3 years,Tecnológico,Pequeña,"Python, R, SQL"
6805,18-29,Hombre,0-14K,India,Grado,Business Analyst,1-3 years,Marketing/CRM,Multinacional,"Python, R, SQL"
6813,30-44,Hombre,0-14K,India,Master,Data Analyst,1-3 years,Tecnológico,Startup," R, C, Other"
6815,18-29,Hombre,No sabe/No contesta,Kenia,Estudios Universitarios,Data Analyst,1-3 years,,No sabe/No contesta,"Python, SQL, C++, Javascript"
6816,18-29,Hombre,No sabe/No contesta,Bangladesh,Grado,Business Analyst,1-3 years,Energía/Minería,Mediana,Python
6824,30-44,Hombre,+40K,Estados Unidos,Master,Data Analyst,5-10 years,Médico/farmacéutico,Grande,"Python, R, SQL"
6828,30-44,Hombre,15K-39K,España,Estudios Universitarios,Business Analyst,5-10 years,Energía/Minería,Multinacional,"Python, SQL"
6830,18-29,Hombre,0-14K,India,Grado,Data Analyst,3-5 years,Contabilidad/Finanzas,Multinacional,"Python, R, SQL, Javascript"
6853,18-29,Mujer,0-14K,Nigeria,Master,Data Analyst,I have never written code,Tecnológico,Startup,No sabe/No contesta
6854,30-44,Mujer,0-14K,Indonesia,Estudios Universitarios,Business Analyst,5-10 years,Radio/Comunicaciones,Startup, Bash
6877,30-44,Hombre,15K-39K,Tailandia,Master,Data Analyst,1-3 years,Fabricación,Mediana,"Python, SQL, MATLAB"
6880,30-44,Hombre,+40K,Japon,Grado,Data Analyst,3-5 years,Otros,Grande,"Python, SQL"
6883,18-29,Hombre,0-14K,India,Master,Data Analyst,< 1 years,ONG/Servicio,Mediana," R, Other"
6887,18-29,Hombre,15K-39K,China,Grado,Data Analyst,< 1 years,Contabilidad/Finanzas,Startup,"Python, SQL, Java"
6900,30-44,Hombre,No sabe/No contesta,India,Master,Business Analyst,5-10 years,Tecnológico,Multinacional,"Python, SQL"
6909,45-59,Hombre,+40K,Estados Unidos,Grado,Data Analyst,10-20 years,Seguro/Evaluación de Riesgos,Multinacional,"Python, SQL"
6911,45-59,Hombre,+40K,Canada,Master,Data Analyst,20+ years,Contabilidad/Finanzas,Multinacional,"Python, SQL"
6912,18-29,Hombre,0-14K,Brasil,Grado,Business Analyst,3-5 years,Contabilidad/Finanzas,Mediana,"Python, SQL, Bash"
6917,18-29,Hombre,15K-39K,China,Grado,Data Analyst,3-5 years,Contabilidad/Finanzas,Grande,"Python, R, SQL, Java"
6927,30-44,Hombre,+40K,Japon,Master,Business Analyst,1-3 years,Envío/Transporte,Multinacional,Python
6930,30-44,Hombre,No sabe/No contesta,Otros,Estudios Universitarios,Data Analyst,< 1 years,Marketing/CRM,Startup,"Python, R, SQL"
6932,30-44,Hombre,15K-39K,Ecuador,Master,Business Analyst,1-3 years,Fabricación,Startup,Python
6938,30-44,Prefiero no decirlo,0-14K,Otros,Master,Business Analyst,20+ years,Ventas al por menor,Pequeña,"Python, SQL, C++, Java"
6943,30-44,Mujer,0-14K,Brasil,Master,Data Analyst,< 1 years,Médico/farmacéutico,Grande,"Python, R, SQL"
6947,18-29,Hombre,0-14K,Otros,Master,Data Analyst,1-3 years,Energía/Minería,Pequeña,"Python, SQL"
6954,18-29,Hombre,0-14K,Rusia,Grado,Data Analyst,< 1 years,Ventas al por menor,Startup,"Python, SQL"
6959,30-44,Hombre,0-14K,Egipto,Grado,Data Analyst,1-3 years,Académico/Educación,Startup, SQL
6976,18-29,Mujer,No sabe/No contesta,Nigeria,Master,Data Analyst,< 1 years,Marketing/CRM,Startup,"Python, R, SQL"
6978,30-44,Hombre,15K-39K,Polonia,Master,Data Analyst,1-3 years,Contabilidad/Finanzas,Multinacional,Python
6980,18-29,Mujer,0-14K,India,Grado,Data Analyst,< 1 years,Médico/farmacéutico,Pequeña," SQL, Other"
6993,18-29,Hombre,No sabe/No contesta,India,Grado,Business Analyst,< 1 years,Académico/Educación,Startup,"Python, R"
6997,30-44,Hombre,15K-39K,Mexico,Grado,Data Analyst,< 1 years,Tecnológico,Multinacional,"Python, SQL, Other"
7013,30-44,Mujer,+40K,Estados Unidos,Doctorado,Data Analyst,5-10 years,Contabilidad/Finanzas,Multinacional,"Python, SQL"
7017,18-29,Hombre,0-14K,India,Master,Data Analyst,3-5 years,Médico/farmacéutico,Multinacional,"Python, SQL"
7025,30-44,Hombre,0-14K,India,Doctorado,Data Analyst,3-5 years,ONG/Servicio,Mediana,Python
7026,18-29,Hombre,+40K,Reino Unido,Master,Data Analyst,3-5 years,Médico/farmacéutico,Multinacional,"Python, R, SQL"
7044,45-59,Hombre,0-14K,Polonia,Bachillerato,Data Analyst,10-20 years,Gobierno/servicio público,Startup, R
7047,30-44,Hombre,+40K,India,Master,Data Analyst,10-20 years,Contabilidad/Finanzas,Multinacional,"Python, R, SQL"
7054,18-29,Mujer,No sabe/No contesta,Indonesia,Grado,Data Analyst,< 1 years,Académico/Educación,Startup,"Python, R, SQL"
7072,30-44,Hombre,0-14K,Ghana,Grado,Data Analyst,I have never written code,Energía/Minería,Grande,No sabe/No contesta
7074,30-44,Mujer,15K-39K,Otros,Master,Data Analyst,< 1 years,Energía/Minería,Grande,"Python, R, SQL"
7082,30-44,Hombre,+40K,Hong Kong (S.A.R.),Grado,Data Analyst,10-20 years,Seguro/Evaluación de Riesgos,Mediana,"Python, R, SQL, Java, Javascript, Bash"
7083,60-70+,Hombre,0-14K,Japon,Prefiero no responder,Business Analyst,I have never written code,Envío/Transporte,Startup,No sabe/No contesta
7085,30-44,Hombre,0-14K,India,Grado,Data Analyst,1-3 years,Marketing/CRM,Multinacional,"Python, SQL"
7097,30-44,Hombre,0-14K,Argentina,Estudios Universitarios,Data Analyst,< 1 years,Tecnológico,Multinacional,Python
7101,45-59,Hombre,+40K,Tailandia,Master,Business Analyst,5-10 years,ONG/Servicio,Multinacional,Python
7116,30-44,Hombre,15K-39K,Marruecos,Master,Data Analyst,1-3 years,Académico/Educación,Mediana,"Python, R, SQL, Java, Javascript"
7119,18-29,Hombre,0-14K,India,Grado,Data Analyst,1-3 years,Gobierno/servicio público,Pequeña,"Python, SQL"
7121,18-29,Mujer,No sabe/No contesta,Republica Checa,Master,Data Analyst,< 1 years,Académico/Educación,Pequeña,"Python, R, SQL, Swift"
7138,18-29,Hombre,No sabe/No contesta,India,Grado,Data Analyst,3-5 years,Académico/Educación,Pequeña,"Python, C, C++"
7146,30-44,Hombre,15K-39K,India,Master,Data Analyst,1-3 years,Contabilidad/Finanzas,Multinacional,Python
7147,18-29,Hombre,15K-39K,China,Master,Data Analyst,1-3 years,Académico/Educación,Startup,"Python, SQL"
7150,18-29,Hombre,No sabe/No contesta,India,Master,Data Analyst,3-5 years,Académico/Educación,Startup,"Python, R, C++"
7159,45-59,Hombre,15K-39K,Egipto,Bachillerato,Business Analyst,5-10 years,Tecnológico,Pequeña,"Python, SQL, C, C++, Java, Javascript"
